"TIME (hh:mm:ss)	",PRESSURE (INH2O)  ,,,
0:00:00,0.253,,,
0:00:00,0.25,,,
0:00:01,0.253,,,
0:00:01,0.25,,,
0:00:01,0.253,,,
0:00:01,0.25,,,
0:00:01,0.25,,,
0:00:02,0.253,,,
0:00:02,0.25,,,
0:00:02,0.253,,,
0:00:02,0.25,,,
0:00:02,0.253,,,
0:00:03,0.253,,,
0:00:03,0.253,,,
0:00:03,0.25,,,
0:00:03,0.256,,,
0:00:03,0.256,,,
0:00:04,0.253,,,
0:00:04,0.253,,,
0:00:04,0.256,,,
0:00:04,0.253,,,
0:00:04,0.256,,,
0:00:05,0.253,,,
0:00:05,0.256,,,
0:00:05,0.256,,,
0:00:05,0.256,,,
0:00:05,0.253,,,
0:00:06,0.253,,,
0:00:06,0.253,,,
0:00:06,0.256,,,
0:00:06,0.256,,,
0:00:06,0.253,,,
0:00:07,0.253,,,
0:00:07,0.256,,,
0:00:07,0.256,,,
0:00:07,0.256,,,
0:00:07,0.256,,,
0:00:08,0.256,,,
0:00:08,0.256,,,
0:00:08,0.256,,,
0:00:08,0.256,,,
0:00:08,0.256,,,
0:00:09,0.256,,,
0:00:09,0.256,,,
0:00:09,0.253,,,
0:00:09,0.256,,,
0:00:09,0.256,,,
0:00:10,0.256,,,
0:00:10,0.253,,,
0:00:10,0.256,,,
0:00:10,0.256,,,
0:00:10,0.256,,,
0:00:11,0.253,,,
0:00:11,0.256,,,
0:00:11,0.256,,,
0:00:11,0.256,,,
0:00:11,0.256,,,
0:00:12,0.256,,,
0:00:12,0.256,,,
0:00:12,0.256,,,
0:00:12,0.259,,,
0:00:12,0.259,,,
0:00:13,0.259,,,
0:00:13,0.256,,,
0:00:13,0.259,,,
0:00:13,0.259,,,
0:00:13,0.256,,,
0:00:14,0.256,,,
0:00:14,0.256,,,
0:00:14,0.256,,,
0:00:14,0.259,,,
0:00:14,0.259,,,
0:00:15,0.259,,,
0:00:15,0.259,,,
0:00:15,0.256,,,
0:00:15,0.256,,,
0:00:15,0.253,,,
0:00:16,0.253,,,
0:00:16,0.256,,,
0:00:16,0.253,,,
0:00:16,0.256,,,
0:00:16,0.256,,,
0:00:17,0.256,,,
0:00:17,0.253,,,
0:00:17,0.256,,,
0:00:17,0.256,,,
0:00:17,0.256,,,
0:00:18,0.256,,,
0:00:18,0.259,,,
0:00:18,0.259,,,
0:00:18,0.256,,,
0:00:18,0.253,,,
0:00:19,0.256,,,
0:00:19,0.256,,,
0:00:19,0.256,,,
0:00:19,0.256,,,
0:00:19,0.256,,,
0:00:20,0.259,,,
0:00:20,0.256,,,
0:00:20,0.256,,,
0:00:20,0.256,,,
0:00:20,0.253,,,
0:00:21,0.256,,,
0:00:21,0.256,,,
0:00:21,0.256,,,
0:00:21,0.25,,,
0:00:21,0.253,,,
0:00:22,0.25,,,
0:00:22,0.256,,,
0:00:22,0.256,,,
0:00:22,0.253,,,
0:00:22,0.25,,,
0:00:23,0.25,,,
0:00:23,0.253,,,
0:00:23,0.256,,,
0:00:23,0.253,,,
0:00:23,0.25,,,
0:00:24,0.253,,,
0:00:24,0.253,,,
0:00:24,0.256,,,
0:00:24,0.256,,,
0:00:24,0.256,,,
0:00:25,0.253,,,
0:00:25,0.256,,,
0:00:25,0.256,,,
0:00:25,0.253,,,
0:00:25,0.253,,,
0:00:26,0.25,,,
0:00:26,0.253,,,
0:00:26,0.253,,,
0:00:26,0.253,,,
0:00:26,0.256,,,
0:00:27,0.256,,,
0:00:27,0.256,,,
0:00:27,0.25,,,
0:00:27,0.256,,,
0:00:27,0.253,,,
0:00:28,0.25,,,
0:00:28,0.256,,,
0:00:28,0.253,,,
0:00:28,0.253,,,
0:00:28,0.256,,,
0:00:29,0.253,,,
0:00:29,0.256,,,
0:00:29,0.253,,,
0:00:29,0.253,,,
0:00:29,0.25,,,
0:00:30,0.256,,,
0:00:30,0.25,,,
0:00:30,0.25,,,
0:00:30,0.25,,,
0:00:30,0.253,,,
0:00:31,0.253,,,
0:00:31,0.256,,,
0:00:31,0.25,,,
0:00:31,0.25,,,
0:00:31,0.253,,,
0:00:32,0.25,,,
0:00:32,0.25,,,
0:00:32,0.25,,,
0:00:32,0.25,,,
0:00:32,0.25,,,
0:00:33,0.253,,,
0:00:33,0.25,,,
0:00:33,0.25,,,
0:00:33,0.25,,,
0:00:33,0.253,,,
0:00:34,0.253,,,
0:00:34,0.25,,,
0:00:34,0.25,,,
0:00:34,0.25,,,
0:00:34,0.229,,,
0:00:35,0.223,,,
0:00:35,0.223,,,
0:00:35,0.223,,,
0:00:35,0.223,,,
0:00:35,0.223,,,
0:00:36,0.223,,,
0:00:36,0.223,,,
0:00:36,0.22,,,
0:00:36,0.22,,,
0:00:36,0.22,,,
0:00:37,0.22,,,
0:00:37,0.22,,,
0:00:37,0.22,,,
0:00:37,0.22,,,
0:00:37,0.22,,,
0:00:38,0.223,,,
0:00:38,0.22,,,
0:00:38,0.22,,,
0:00:38,0.22,,,
0:00:38,0.22,,,
0:00:39,0.22,,,
0:00:39,0.22,,,
0:00:39,0.22,,,
0:00:39,0.223,,,
0:00:39,0.223,,,
0:00:40,0.223,,,
0:00:40,0.22,,,
0:00:40,0.22,,,
0:00:40,0.223,,,
0:00:40,0.22,,,
0:00:41,0.22,,,
0:00:41,0.22,,,
0:00:41,0.22,,,
0:00:41,0.22,,,
0:00:41,0.223,,,
0:00:42,0.22,,,
0:00:42,0.22,,,
0:00:42,0.22,,,
0:00:42,0.217,,,
0:00:42,0.217,,,
0:00:43,0.22,,,
0:00:43,0.217,,,
0:00:43,0.217,,,
0:00:43,0.217,,,
0:00:43,0.217,,,
0:00:44,0.217,,,
0:00:44,0.217,,,
0:00:44,0.217,,,
0:00:44,0.217,,,
0:00:44,0.217,,,
0:00:45,0.22,,,
0:00:45,0.223,,,
0:00:45,0.22,,,
0:00:45,0.22,,,
0:00:45,0.217,,,
0:00:46,0.217,,,
0:00:46,0.214,,,
0:00:46,0.217,,,
0:00:46,0.217,,,
0:00:46,0.217,,,
0:00:47,0.214,,,
0:00:47,0.214,,,
0:00:47,0.214,,,
0:00:47,0.214,,,
0:00:47,0.214,,,
0:00:48,0.214,,,
0:00:48,0.217,,,
0:00:48,0.22,,,
0:00:48,0.214,,,
0:00:48,0.217,,,
0:00:49,0.217,,,
0:00:49,0.217,,,
0:00:49,0.217,,,
0:00:49,0.217,,,
0:00:49,0.214,,,
0:00:50,0.217,,,
0:00:50,0.217,,,
0:00:50,0.22,,,
0:00:50,0.217,,,
0:00:50,0.214,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:52,0.217,,,
0:00:52,0.217,,,
0:00:52,0.22,,,
0:00:52,0.217,,,
0:00:52,0.217,,,
0:00:53,0.217,,,
0:00:53,0.217,,,
0:00:53,0.217,,,
0:00:53,0.22,,,
0:00:53,0.22,,,
0:00:54,0.214,,,
0:00:54,0.214,,,
0:00:54,0.217,,,
0:00:54,0.217,,,
0:00:54,0.217,,,
0:00:55,0.214,,,
0:00:55,0.217,,,
0:00:55,0.217,,,
0:00:55,0.214,,,
0:00:55,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.22,,,
0:00:57,0.22,,,
0:00:57,0.22,,,
0:00:57,0.22,,,
0:00:57,0.223,,,
0:00:57,0.22,,,
0:00:58,0.223,,,
0:00:58,0.223,,,
0:00:58,0.226,,,
0:00:58,0.223,,,
0:00:58,0.223,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.223,,,
0:01:00,0.223,,,
0:01:00,0.226,,,
0:01:00,0.226,,,
0:01:00,0.22,,,
0:01:00,0.223,,,
0:01:01,0.223,,,
0:01:01,0.223,,,
